text,sentiment
I love this product so much,positive
This is amazing and very useful,positive
Excellent quality and great experience,positive
I am very happy with this service,positive
Best purchase I have ever made,positive
Superb and fantastic product,positive
I hate this product,negative
Worst experience ever,negative
Very bad quality and useless,negative
I am very disappointed,negative
Terrible service and support,negative
Not worth the money at all,negative
It is okay not bad,neutral
Average product nothing special,neutral
It works fine,neutral
Nothing great nothing bad,neutral
Normal experience,neutral
Product is fine,neutral
